종목코드,종목명,종가,대비,등락률,상장시가총액
"178920","PI첨단소재","46500","750","1.64","1365534.0"
"185750","종근당","113000","2500","2.26","1291149.0"
"248070","솔루엠","23800","900","3.93","1190132.0"
"010780","아이에스동서","44100","1400","3.28","1362364.0"
"013890","지누스","80000","2400","3.09","1264036.0"
"000210","DL","61800","500","0.82","1295074.0"
"000670","영풍","642000","3000","0.47","1182590.0"
"001740","SK네트웍스","4880","15","0.31","1211156.0"
"003530","한화투자증권","5540","180","3.36","1188595.0"
"005070","코스모신소재","43300","500","1.17","1302762.0"
"005250","녹십자홀딩스","26550","550","2.12","1248599.0"
"005300","롯데칠성","133000","2500","1.92","1234092.0"
"079550","LIG넥스원","57800","1600","2.85","1271600.0"
"082640","동양생명","6930","100","1.46","1118215.0"
"009420","한올바이오파마","19950","500","2.57","1042201.0"
"192820","코스맥스","99800","3200","3.31","1132681.0"
"214320","이노션","53400","1100","2.10","1068000.0"
"268280","미원에스씨","206500","1000","0.49","1053150.0"
"298000","효성화학","317500","26000","8.92","1012865.0"
"353200","대덕전자","20000","100","0.50","988339.0"
"363280","티와이홀딩스","25800","600","2.38","1036428.0"
"011000","진원생명과학","22900","3050","15.37","1035344.0"
"016380","KG동부제철","10750","550","5.39","1075096.0"
"018670","SK가스","125000","7000","5.93","1153781.0"
"023590","다우기술","22950","450","2.00","1029689.0"
"031430","신세계인터내셔날","147500","2500","1.72","1053150.0"
"032350","롯데관광개발","16700","650","4.05","1156904.0"
"039130","하나투어","70400","2600","3.83","981319.0"
"001800","오리온홀딩스","15550","250","1.63","974136.0"
"002840","미원상사","204500","1500","0.74","1016365.0"
"003240","태광산업","990000","40000","4.21","1102266.0"
"003540","대신증권","20800","1150","5.85","1056087.0"
"003690","코리안리","9370","90","0.97","1127859.0"
"003850","보령제약","16200","400","2.53","1112778.0"
"004490","세방전지","76500","1400","1.86","1071000.0"
"192080","더블유게임즈","62300","5300","9.30","1144731.0"
"348950","제이알글로벌리츠","5360","-10","-0.19","887616.0"
"365550","ESR켄달스퀘어리츠","6530","30","0.46","935481.0"
"395400","SK리츠","5870","-40","-0.68","909971.0"
"000070","삼양홀딩스","98900","900","0.92","847006.0"
"000640","동아쏘시오홀딩스","117000","5000","4.46","742658.0"
